# t/ns;T1/us;T2/us;T3/us
0;8867;15593;13230
91;8828;15665;13200
182;8855;15584;13160
272;8930;15503;13160
363;8795;15389;13350
453;8966;15638;13360
544;8831;15422;13280
634;8942;15596;13460
725;8891;15602;13340
815;8930;15551;13340
905;8882;15506;13220
995;8867;15602;13210
1086;8828;15515;13210
1176;8909;15611;13170
1266;8885;15548;13170
1359;8834;15566;13190
1450;8846;15605;13400
1541;8936;15656;13400
1634;8870;15449;13320
1728;8972;15479;13320
1821;8909;15431;13270
1914;8864;15620;13260
2007;8810;15479;13070
2099;8846;15476;13220
2191;8876;15527;13200
2282;9014;15386;13200
2426;8876;15539;13250
2516;8837;15623;13250
2606;8891;15551;13410
2697;8903;15512;13330
2788;8945;15452;13330
2878;8843;15569;13230
2968;8888;15584;13320
3059;8828;15485;13430
3150;8849;15467;13430
3242;8885;15578;13540
3335;8888;15506;13330
3370;8900;15524;13140
3461;8933;15623;13140
3551;8912;15524;13060
3641;8786;15461;13210
3732;8921;15539;13120
3822;8945;15497;13120
3912;8954;15614;13230
4003;8927;15485;13230
4093;8930;15395;13450
4183;8936;15548;13370
4274;8864;15623;13380
4366;8864;15587;13400
4456;8864;15650;13300
4546;8942;15461;13300
4636;8942;15542;13440
4727;8840;15641;13210
4817;8762;15650;13150
4907;8867;15539;13330
4998;8903;15647;13380
5088;8897;15695;13410
5178;8957;15566;13410
5269;8885;15578;13140
5361;8810;15575;13140
5451;8864;15539;13240
5542;8765;15512;13090
5632;8936;15479;13090
5724;8912;15467;13230
5817;8933;15602;13230
5911;8882;15665;13330
6005;8861;15422;13140
6099;8855;15479;13140
6191;8876;15422;13270
6284;8849;15584;13310
6376;8948;15560;13330
6468;8858;15611;13150
6558;8861;15539;13150
6650;8894;15566;13310
6740;8834;15575;13310
6831;8855;15389;13420
6922;8828;15665;13480
7013;8936;15497;13580
7103;8972;15479;13230
7194;8792;15650;13150
7284;8894;15638;13150
7377;9065;15548;13210
7467;8906;15683;13090
7557;8792;15569;13090
7648;8855;15719;13270
7738;8915;15557;13280
7829;8915;15557;13280
7919;8939;15614;13260
8009;8849;15554;13250
8100;8924;15623;13250
8190;8939;15524;13200
8280;8945;15575;13490
8372;8909;15422;13190
8462;8927;15704;13190
8553;9017;15521;13120
8643;8846;15524;13420
8733;8930;15662;13450
8824;8939;15641;13420
8914;8939;15503;13320
9004;8828;15470;13310
9095;8879;15515;13330
9185;9020;15524;13330
9275;8960;15545;13100
9367;8834;15413;13400
9458;8765;15503;13360
9548;8903;15434;13320
9638;8936;15485;13320
9729;8855;15485;13460
9820;8915;15515;13250
9912;8915;15527;13180
10004;8867;15605;13030
10097;8951;15485;13290
10191;8888;15632;13270
10285;8861;15566;13270
10378;8939;15560;13320
10470;8798;15395;13290
10561;8849;15656;13370
10652;8876;15542;13010
10743;8861;15506;13010
10834;8876;15569;13360
10925;8909;15566;13360
11016;8891;15569;13360
11106;8873;15557;13340
11197;8858;15578;13360
11288;8906;15578;13450
11379;8852;15515;13180
11470;8891;15575;13180
11560;8822;15539;13320
11651;8831;15563;13270
11741;8891;15566;13260
11832;8927;15431;13260
11922;9017;15539;13350
12013;8891;15494;13270
12103;8891;15656;13270
12193;8912;15494;13120
12284;8975;15488;13120
12375;8981;15542;13280
12466;9005;15425;13400
12556;8975;15587;13370
12646;8915;15632;13370
12737;8891;15503;13150
12827;8765;15503;13150
12917;8876;15524;13310
13008;8891;15668;13330
13098;8861;15587;13250
13188;8843;15500;13430
13278;8897;15569;13330
13370;8822;15506;13070
13460;8822;15557;13070
13550;8879;15557;13150
13640;8798;15524;13440
13731;8786;15461;13480
13822;8789;15461;13400
13913;8774;15467;13240
14004;8795;15551;13260
14095;8804;15632;13350
14188;8888;15539;13250
14282;8957;15539;13420
14377;8915;15488;13250
14471;8897;15512;13250
14564;8882;15506;13140
14655;8954;15506;13450
14747;8903;15545;13350
14838;8888;15578;13350
14929;8810;15488;13290
15020;8822;15488;13290
15111;8915;15431;13330
15201;8789;15605;13380
15292;8954;15458;13260
15384;8852;15692;13260
15475;8828;15674;13310
15565;8894;15542;13370
15655;8936;15431;13370
15746;8882;15569;13270
15836;8969;15566;13200
15926;8903;15560;13100
16017;8888;15533;13100
16107;8858;15512;13390
16197;8885;15596;13330
16288;8903;15491;13630
16380;8930;15623;13400
16471;8837;15542;13440
16561;8909;15665;13350
16651;8792;15530;13160
16742;8879;15674;13330
16832;8822;15497;13150
16922;8936;15641;13150
17012;8822;15533;13160
17103;8822;15533;13110
17193;8810;15560;13110
17283;8810;15548;13170
17426;8837;15650;13340
17516;8813;15668;13170
17606;8762;15569;13170
17697;8933;15548;13230
17788;8867;15578;13380
17878;8879;15605;13200
17968;8849;15587;13200
18059;8933;15539;13430
18150;8933;15515;13220
18242;8888;15455;13220
18335;8873;15542;13190
18373;8909;15530;13190
18466;8972;15611;13220
18560;8885;15452;13370
18653;8915;15488;13300
18746;8894;15656;13300
18839;8948;15641;13290
18930;8897;15593;13070
19022;8846;15524;13520
19113;8807;15563;13190
19204;8951;15638;13190
19295;8882;15584;13250
19388;8792;15584;13410
19478;8759;15566;13220
19569;8876;15506;13220
19660;8882;15506;13350
19750;8900;15458;13270
19841;8909;15569;13260
19931;8936;15479;13260
20022;8978;15431;13310
20112;8888;15578;13140
20202;8852;15398;13330
20293;8912;15347;13230
20384;8936;15539;13230
20475;8840;15575;13370
20565;8876;15416;13210
20655;8903;15530;13160
20746;8885;15620;13330
20836;8846;15539;13510
20926;8858;15533;13330
21016;8891;15623;13330
21107;8870;15611;13410
21197;8936;15485;13110
21288;8903;15440;13110
21379;8945;15488;13360
21470;8849;15701;13120
21560;8873;15560;13120
21650;8882;15389;13280
21741;8879;15590;13360
21831;8789;15548;13390
21921;8945;15611;13410
22012;8858;15584;13170
22102;8840;15620;13330
22193;8810;15566;13240
22283;8810;15398;13150
22375;8957;15677;13250
22466;8891;15497;13260
22559;8951;15665;13260
22652;8939;15566;13060
22746;8825;15539;12940
22839;8888;15458;12940
22932;8927;15503;13270
23025;8840;15533;13310
23116;8840;15533;13230
23208;8789;15476;13230
23299;8750;15476;13420
23392;8771;15551;13300
23483;8921;15584;13290
23574;8849;15470;13310
23664;8840;15623;13410
23755;8924;15629;13490
23846;9020;15197;13090
23936;8966;15653;13610
24027;8876;15560;13370
24117;8879;15614;13290
24208;8879;15668;13390
24298;8915;15548;13350
24390;8891;15569;13140
24480;8891;15614;13140
24571;8966;15542;13370
24661;8852;15542;13320
24752;8852;15566;13370
24842;8927;15386;13460
24932;8879;15611;13210
25023;8879;15557;13210
25114;8912;15587;13350
25204;8846;15524;13230
25294;8942;15524;13320
25384;8942;15569;13080
25474;8843;15551;13450
25564;8837;15593;13270
25655;8897;15344;13270
25745;9020;15467;13180
25835;8849;15539;13360
25925;8879;15578;12950
26016;8900;15533;12950
26106;8900;15533;13560
26197;8825;15497;13320
26287;8864;15479;13220
26379;8867;15626;13220
26469;8966;15551;13610
26560;8867;15506;13290
26651;8918;15380;13390
26743;8939;15521;13380
26835;8915;15665;13290
26929;8927;15608;13460
27023;8831;15470;13320
27116;8906;15479;13320
27209;8807;15515;13410
27301;8807;15515;13300
27394;8948;15539;13350
27485;8819;15488;13270
27576;8846;15416;13270
27667;8846;15521;13440
27757;8870;15524;13270
27847;8960;15566;13440
27938;8807;15542;13210
28029;8834;15530;13370
28120;8837;15530;13340
28210;8837;15440;13160
28301;8828;15497;13160
28393;8882;15614;13260
28483;8957;15458;13410
28573;8855;15629;13490
28664;8882;15494;13340
28755;8879;15494;13640
28845;8918;15434;13260
28936;8915;15566;13250
29026;8870;15605;13160
29117;8846;15506;13160
29207;8846;15536;13190
29297;8867;15506;13060
29389;8861;15557;13060
29480;8969;15587;13420
29570;8966;15593;13420
29660;8918;15479;13350
29751;8915;15494;13240
29841;8834;15542;13240
29931;8783;15506;13250
30022;8840;15503;13350
30112;8858;15614;13350
30202;8786;15515;13400
30292;8999;15461;13310
30384;8903;15452;13490
30474;8864;15443;13150
30564;8912;15449;13390
30655;8999;15557;13650
30745;8963;15485;13430
30836;8855;15602;13250
30927;8888;15506;13310
31020;8948;15566;13310
31114;8948;15575;13310
31208;8948;15557;13380
31301;8873;15515;13300
31396;8879;15479;13340
31488;8849;15656;13340
31580;8891;15530;13210
31671;8975;15470;13210
31762;8918;15602;13330
31853;8870;15470;13250
31943;8897;15641;13250
32034;8813;15413;13280
32125;8906;15476;13320
32215;8906;15533;13320
32306;8882;15566;13270
32426;8867;15485;13270
32516;8729;15512;13130
32606;8963;15605;13130
32697;9080;15584;13270
32788;8825;15584;13020
32878;8924;15530;13100
32968;8855;15596;13100
33059;8933;15656;13350
33150;8930;15482;13320
33242;8906;15587;13330
33335;8840;15620;13440
33391;8810;15689;13420
33481;8882;15503;13220
33572;8840;15665;13130
33663;8993;15512;13310
33753;8828;15575;13480
33843;8753;15575;13360
33933;8981;15602;13540
34023;8843;15353;13510
34113;8882;15521;13330
34204;8882;15641;13320
34294;8954;15566;13290
34386;8951;15587;13470
34476;8987;15596;13290
34566;8894;15476;13290
34656;8816;15488;13430
34747;8900;15494;13380
34837;8966;15494;13220
34928;8963;15596;13220
35019;8900;15485;13310
35109;8897;15557;13430
35201;9017;15557;13490
35295;9017;15581;12970
35389;8987;15497;13620
35483;8768;15575;13270
35578;8888;15596;13240
35670;8840;15341;13240
35762;8882;15596;13370
35853;8837;15641;13190
35944;8858;15695;13190
36035;8969;15560;13170
36127;8837;15413;13170
36217;8873;15566;13110
36308;8984;15563;13110
36400;8873;15584;13240
36491;8873;15494;13240
36581;8903;15578;13390
36672;8831;15605;13100
36763;8885;15524;13100
36853;8798;15524;13350
36943;8798;15425;13370
37034;8876;15431;13370
37124;8864;15593;13330
37214;8930;15569;13450
37305;8909;15569;13300
37396;8837;15656;13240
37487;8807;15584;13620
37577;8819;15560;13280
37667;8819;15470;13280
37758;8960;15575;13260
37848;8813;15686;13360
37938;8849;15596;13310
38028;8756;15413;13240
38119;8975;15398;13280
38209;8999;15608;13300
38299;9008;15731;13300
38391;8900;15557;13370
38481;8855;15494;13360
38572;8873;15563;13360
38662;8939;15452;13390
38753;8945;15587;13120
38843;8840;15524;13120
38933;8891;15521;13370
39023;8951;15611;13290
39114;8930;15443;13470
39204;8828;15479;13330
39296;8873;15578;13260
39389;8834;15539;13160
39482;8945;15629;13160
39575;8924;15557;13290
39669;8879;15557;13170
39763;8894;15575;13170
39855;8960;15416;13440
39948;8936;15416;13310
40040;8903;15560;13240
40130;8753;15455;13270
40222;8891;15449;13270
40313;8822;15587;13370
40403;8822;15416;13290
40494;8786;15509;13250
40585;8900;15509;13200
40675;8921;15503;13290
40766;8921;15512;13310
40857;8750;15551;12940
40947;8903;15518;13100
41038;8975;15575;13370
41128;8882;15575;13280
41219;8795;15524;13090
41309;8852;15584;13150
41401;8930;15584;13340
41491;8900;15593;13360
41581;8909;15569;13250
41672;8795;15605;13250
41762;8933;15620;13320
41853;8822;15656;13240
41943;8822;15614;13270
42033;8873;15623;13170
42123;8855;15395;13170
42214;8864;15434;13360
42304;8927;15566;13430
42396;8873;15611;13070
42486;8927;15479;13070
42576;8855;15524;13150
42667;8879;15557;13140
42757;8831;15557;13140
42847;8867;15596;13270
42937;8882;15557;13350
43027;8954;15425;13530
43118;8915;15512;13170
43208;8792;15524;13170
43298;8921;15416;13240
43391;8846;15578;13300
43482;8870;15494;13280
43573;8873;15488;13220
43666;8840;15530;13220
43760;8840;15506;13290
43854;8795;15530;13400
43947;8945;15539;13180
44040;8936;15629;13180
44132;8942;15539;13270
44224;8762;15539;13290
44316;8909;15602;13340
44408;8927;15584;13340
44499;8891;15710;13360
44590;8843;15584;13470
44681;8891;15524;13210
44772;8966;15629;13210
44863;8984;15521;13210
44954;8861;15602;13300
45045;8867;15503;13300
45135;8918;15557;13250
45226;8963;15551;13250
45316;8978;15665;13110
45408;8915;15644;13110
45498;8864;15575;13200
45588;8906;15632;13450
45679;8870;15452;13320
45769;8909;15497;13450
45860;8921;15506;13390
45950;8906;15539;13110
46040;8828;15539;13110
46130;8891;15638;13430
46221;8807;15506;13270
46311;8912;15602;13270
46402;8957;15638;13380
46493;8915;15710;13430
46583;8858;15479;13130
46673;8783;15596;13130
46763;8843;15593;13280
46853;8888;15623;13190
46944;8897;15596;13390
47034;8921;15494;13030
47124;8873;15542;13030
47215;8915;15605;13310
47305;8900;15485;13160
47426;8765;15488;13160
47516;8870;15422;13240
47606;8870;15605;13290
47697;8969;15488;13550
47788;8801;15449;13300
47878;8825;15503;13300
47968;8927;15587;13290
